isbn,Title,Author,num_pages,publication_date,publisher,genres,Price
0385191669,Whole Earth Software Catalog,Stewart Brand,208,10/1/1984,Doubleday Books,Computer software,19.0
0684845776,Unlimited Power: The New Science Of Personal Achievement,Anthony Robbins,448,12/22/1997,Free Press,Self Help,16.5
0140295941,Spellbound,Jane Green,439,12/4/2003,Penguin Books Ltd,Womens Fiction,12.0
0684868199,Picture This,Joseph Heller,352,3/24/2000,Simon  Schuster,Fiction,29.5
0684826801,Survival in Auschwitz,Primo Levi,187,9/1/1995,Simon  Schuster,Nonfiction,36.0
1575662450,Murder On The Glitter Box (Steve Allen Mystery #3),Steve Allen,348,1/1/1998,Kensington,Mystery,27.0
1932394699,Ruby for Rails: Ruby Techniques for Rails Developers,David A. Black,493,5/11/2006,Manning Publications,Computer Science,20.0
3856305580,C.G. Jung and Hermann Hesse: A Book of Two Friendships,Miguel Serrano,142,1/1/1997,Daimon Verlag,Psychology,31.99
1400052998,The Metamorphosis (Graphic Novel Adaptation),Peter Kuper,80,7/20/2004,Broadway Books,Sequential Art,29.0
1413901433,Your and My Secret  Vol. 1,Ai Morinaga,174,7/6/2004,ADV Manga,Sequential Art,27.5
0425170349,Rainbow Six (John Clark  #2; Jack Ryan Universe  #10),Tom Clancy,912,9/1/1999,Berkley Books,Fiction,39.99
1419349996,The Richest Man in Babylon,George S. Clason,4,6/17/2005,Recorded Books  Inc.,Economics,26.5
0091894603,How To Have A Beautiful Mind,Edward de Bono,232,6/3/2004,Vermilion,Nonfiction,31.0
0743284798,Persian Mirrors: The Elusive Face of Iran,Elaine Sciolino,432,10/3/2005,Free Press,Cultural,15.0
1593081480,The Three Musketeers,Alexandre Dumas,761,11/25/2004,Barnes  Noble Classics,Classics,30.0
1565842219,The War,Marguerite Duras,192,8/1/1994,The New Press,Cultural,16.99
1593075421,Museum of Terror  Vol. 1: Tomie 1,Junji Ito,375,8/8/2006,Dark Horse Comics,Sequential Art,15.5
0809530953,Manna from Heaven,Roger Zelazny,255,5/29/2006,Wildside Press,Fantasy,14.5
0373483376,Tallchief For Keeps (The Tallchiefs #3),Cait London,296,12/25/1996,Silhouette,Romance,35.5
0375500723,The Heart of a Woman,Maya Angelou,288,5/17/1997,Random House,Nonfiction,27.0
1931243190,The Last Joy,Knut Hamsun,250,7/1/2002,Green Integer,Classics,14.5
038071082X,The Grass Crown (Masters of Rome  #2),Colleen McCullough,1104,7/1/1992,Avon,Historical,17.99
0439872472,Violet Makes A Splash (Sister Magic),Anne Mazer,112,7/1/2007,Scholastic Paperbacks,Fantasy,25.99
1556908687,Mistress of Magic (The Mists of Avalon  #1),Marion Zimmer Bradley,14,4/1/1993,Recorded Books,Fantasy,27.99
0373802544,Cast in Shadow (Chronicles of Elantra  #1),Michelle Sagara,507,7/1/2005,Luna,Fantasy,10.99
140003471X,Chronicle of a Death Foretold,Gabriel García Márquez,120,10/7/2003,Vintage,Fiction,33.5
0679736883,The Radicalism of the American Revolution,Gordon S. Wood,447,3/2/1993,Vintage,History,20.0
0374516901,Basin and Range,John McPhee,240,4/1/1982,Farrar  Straus and Giroux,Science,36.0
0142402494,Pippi Longstocking,Astrid Lindgren,160,4/21/2005,Puffin Books,Classics,29.5
1852864982,Death: The High Cost of Living,Neil Gaiman,104,6/9/1994,Titan Books,Sequential Art,16.0
0552152110,Never Go Back,Robert Goddard,464,10/23/2006,Corgi,Mystery,32.5
0060951273,El plan infinito,Isabel Allende,336,5/14/2002,Harper Perennial,Fiction,20.5
0689861133,Moo  Baa  La La La!,Sandra Boynton,14,9/6/2004,Simon & Schuster Childrens Books,Childrens,38.99
034548357X,Inferno,Dante Alighieri,560,10/25/2005,Modern Library,Classics,14.5
0552998001,Blackberry Wine,Joanne Harris,334,4/1/2001,Black Swan,Fiction,19.0
0452278872,The Journals of Ayn Rand,Ayn Rand,752,8/1/1999,NAL,Philosophy,32.5
0679745394,After Henry,Joan Didion,320,4/27/1993,Vintage,Writing,38.99
0671892673,A Place Where the Sea Remembers,Sandra Benítez,176,2/5/1995,Scribner,Fiction,22.5
0812565886,Persuasion,Jane Austen,242,10/15/1999,Tor Classics,Classics,18.99
8433920863,Relatos de lo inesperado,Roald Dahl,320,6/30/2016,Anagrama,Short Stories,19.5
1591169208,Fullmetal Alchemist  Vol. 1 (Fullmetal Alchemist  #1),Hiromu Arakawa,192,5/3/2005,VIZ Media LLC,Sequential Art,27.5
0723257043,The Tale of Peter Rabbit: A Pop-up Adventure,Beatrix Potter,16,2/2/2006,Warne,Childrens,36.5
0007169922,And to Think That I Saw It on Mulberry Street,Dr. Seuss,64,8/4/2003,Vanguard Press,Childrens,21.5
0821221876,The Print (Ansel Adams Photography  #3),Ansel Adams,203,6/1/1995,Little  Brown and Company,Art,12.5
0439271711,Literature Circle Guide: Bridge to Terabithia: Everything You Need For Successful Literature Circles That Get Kids Thinking  Talking  Writing—and Loving Literature,Tara MacCarthy,32,1/1/2002,Teaching Resources,Education,34.99
0802417582,My First Story of Christmas,Tim Dowley,24,9/1/2004,Moody Publishers,Holiday,34.0
0226301192,Love  Sex & Tragedy: How the Ancient World Shapes Our Lives,Simon Goldhill,345,11/1/2005,University of Chicago Press,History,14.0
0446696617,1st to Die (Women's Murder Club  #1),James Patterson,424,5/20/2005,Grand Central Publishing,Mystery,10.0
0553572989,The Rise of Endymion (Hyperion Cantos  #4),Dan Simmons,709,7/1/1998,Spectra,Science Fiction,26.99
0143037390,The Read-Aloud Handbook,Jim Trelease,432,7/25/2006,Penguin Books,Parenting,32.0
1402713193,The Secret Garden,Martha Hailey DuBose,160,3/1/2005,Sterling,Classics,36.0
067976397X,Corelli's Mandolin,Louis de Bernières,437,8/29/1995,Vintage,Fiction,16.5
0753811464,Maya,Jostein Gaarder,352,5/10/2011,Phoenix,Fiction,17.5
0316168815,The Lovely Bones,Alice Sebold,328,4/20/2004,Back Bay Books,Fiction,39.5
1933648279,Night Has a Thousand Eyes,Cornell Woolrich,344,4/1/2007,Pegasus Books,Mystery,34.5
0143036491,The Great Influenza: The Story of the Deadliest Pandemic in History,John M. Barry,546,10/4/2005,Penguin Books,History,24.5
0671577786,Four & Twenty Blackbirds (Bardic Voices  #4),Mercedes Lackey,423,2/1/2004,Baen Books,Fantasy,29.5
1573441961,The Letters of Vita Sackville-West and Virginia Woolf,Louise DeSalvo,480,9/30/2004,Cleis Press,Nonfiction,11.0
0712645624,Mansion On The Hill: Dylan Young Geffen Springsteen and the Head-on-Collision of Rock and Commerce,Fred Goodman,448,7/3/2003,Pimlico,Music,24.99
1400078121,Wickett's Remedy,Myla Goldberg,370,10/10/2006,Anchor Books,Fiction,10.5
0763630640,The Hound of the Baskervilles,Arthur Conan Doyle,272,8/22/2006,Candlewick Press,Classics,38.0
1930699891,Earned Value Project Management,Quentin W. Fleming,232,6/30/2006,Project Management Institute,Business,11.0
0062515675,The Monk Who Sold His Ferrari: A Fable About Fulfilling Your Dreams and Reaching Your Destiny,Robin S. Sharma,208,4/21/1999,HarperOne,Self Help,25.99
0231121253,An Arab-Syrian Gentleman and Warrior in the Period of the Crusades: Memoirs of Usamah Ibn-Munqidh,Usamah ibn Munqidh,265,6/22/2000,Columbia University Press,History,24.0
9861146091,鋼之鍊金術師 1,Hiromu Arakawa,183,6/1/2004,東立,Sequential Art,29.99
849782461X,Os libros arden mal,Manuel Rivas,741,6/24/2006,Edicións Xerais de Galicia  S.A.,Fiction,26.0
1416500391,Gulliver's Travels / A Modest Proposal,Jonathan Swift,416,8/1/2005,Simon  Schuster,Classics,32.99
0689874146,The Steps (Steps  #1),Rachel Cohn,144,9/1/2004,Simon  Schuster Books for Young Readers,Young Adult,16.0
0140276343,The Autograph Man,Zadie Smith,420,5/22/2003,Penguin Books Ltd,Fiction,23.5
0195143108,Antigone,Sophocles,197,9/1/2007,Oxford University Press,Classics,34.99
1844130800,The Fourth Crusade: And the Sack of Constantinople,Jonathan Phillips,416,4/7/2005,Pimlico,History,38.5
0739340336,The Michael Crichton Collection: Airframe / The Lost World / Timeline,Michael Crichton,0,8/29/2006,Random House Audio,Fiction,21.99
0385339607,The Rainmaker,John Grisham,419,9/27/2005,Delta,Fiction,25.0
0292760280,100 Love Sonnets,Pablo Neruda,232,1/1/1986,University of Texas Press,Poetry,22.0
0143039164,Kristin Lavransdatter (Kristin Lavransdatter  #1-3),Sigrid Undset,1144,9/27/2005,Penguin Books,Historical,26.99
1400052939,The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide  #1),Douglas Adams,271,10/19/2004,Crown Publishing Group (NY),Science Fiction,21.5
0395680921,Morgoth's Ring (The History of Middle-Earth  #10),J.R.R. Tolkien,478,12/14/1993,Houghton Mifflin Harcourt,Fantasy,10.0
0380732025,Killing Time,Cynthia Harrod-Eagles,280,2/1/1999,Avon Books,Mystery,26.0
0451190750,Thinner,Richard Bachman,320,9/1/1996,Signet,Horror,25.5
0517266555,Just So Stories,Rudyard Kipling,210,8/5/2003,Gramercy Books,Classics,39.0
2070368106,Le ravissement de Lol V. Stein,Marguerite Duras,192,6/25/1976,Gallimard,Fiction,23.99
0679762094,Aman: The Story of a Somali Girl,Virginia Lee Barnes,368,8/29/1995,Vintage,Nonfiction,22.99
0375755195,Sailing Alone Around the Room: New and Selected Poems,Billy Collins,192,9/17/2002,Random House Trade Paperbacks,Poetry,11.5
0786016051,Island Of Bones (Louis Kincaid  #5),P.J. Parrish,384,1/1/2004,Pinnacle,Mystery,38.99
1400054036,Paths to God: Living the Bhagavad Gita,Ram Dass,352,10/25/2005,Harmony,Spirituality,31.0
0226777103,History of Political Philosophy,Leo Strauss,980,11/30/1987,University of Chicago Press,Philosophy,15.99
0345427548,Rise to Rebellion,Jeff Shaara,492,6/29/2004,Ballantine Books,Historical,29.99
1416513418,Sahara (Dirk Pitt  #11),Clive Cussler,576,3/1/2005,Pocket Books,Fiction,25.0
078798129X,Organic Church: Growing Faith Where Life Happens,Neil Cole,237,9/8/2005,Jossey-Bass,Religion,20.0
0879237902,Waiting for the Party: The Life of Frances Hodgson Burnett  1849-1924,Ann Thwaite,274,9/1/1994,David R. Godine Publisher,Biography,22.5
0060596384,Abarat: Days of Magic  Nights of War,Clive Barker,569,9/26/2006,HarperCollins,Fantasy,37.5
0140281703,The World of Mr. Mulliner,P.G. Wodehouse,624,7/29/1999,Penguin Books Ltd,Humor,11.99
0486455599,Eight Cousins (Eight Cousins  #1),Louisa May Alcott,224,2/27/2007,Dover Publications,Classics,25.0
0393318680,Filth,Irvine Welsh,393,9/17/1998,W. W. Norton  Company,Fiction,11.0
0521479347,Foucault's Virginity: Ancient Erotic Fiction & the History of Sexuality (Stanford Memorial Lecture),Simon Goldhill,212,1/26/1995,Cambridge University Press,Philosophy,29.99
0195300920,The Faiths of the Founding Fathers,David L. Holmes,225,3/1/2006,Oxford University Press  USA,History,34.5
0060938102,The Schopenhauer Cure,Irvin D. Yalom,358,1/3/2006,Harper Perennial Modern Classics,Psychology,30.0
0452271681,When Heaven and Earth Changed Places: A Vietnamese Woman's Journey from War to Peace,Le Ly Hayslip,400,11/1/1993,Plume,Nonfiction,16.99
0811213463,The Samurai,Shūsaku Endō,272,4/17/1997,New Directions,Fiction,10.0
0156212501,The Complete Shorter Fiction of Virginia Woolf,Virginia Woolf,345,6/1/1989,Mariner Books,Short Stories,30.99
1570715831,Steppenwolf Theatre Company : Twenty-Five Years of an Actor's Theater,Victor Skrebneski,144,12/1/2000,Sourcebooks,Performing Arts,37.0
0582435676,The Beach,Joanna Strange,112,2/19/2001,Longman,Fiction,36.0
0345486587,Drop Dead Gorgeous (Blair Mallory  #2),Linda Howard,347,11/28/2006,Ballantine Books,Romance,30.99
0192836366,Faust  Part Two,Johann Wolfgang von Goethe,304,7/22/1999,Oxford University Press  USA,Classics,27.99
055345580X,Time To Hunt (Bob Lee Swagger  #3),Stephen Hunter,0,5/18/1998,Random House Audio,Thriller,19.5
0195172418,Curry: A Tale of Cooks and Conquerors,Lizzie Collingham,315,2/6/2006,Oxford University Press  USA,History,30.5
0440236703,Tell No One,Harlan Coben,370,8/25/2009,Dell Publishing Company,Mystery,31.5
1593357389,Tripwire (Jack Reacher  #3),Lee Child,14,11/25/2004,Brilliance Audio,Thriller,17.5
015640057X,"Henry and June: From ""A Journal of Love"": The Unexpurgated Diary of Anaïs Nin  1931-1932",Anaïs Nin,304,10/29/1990,Mariner Books,Nonfiction,39.99
039332690X,The Sari Shop,Rupa Bajwa,224,6/17/2005,W. W. Norton  Company,Cultural,25.0
0374525110,The Spirit Level: Poems,Seamus Heaney,82,4/10/1997,Farrar  Straus and Giroux,Poetry,18.0
140120256X,Fables  Vol. 3: Storybook Love,Bill Willingham,190,5/1/2004,Vertigo,Sequential Art,27.99
1593076274,Star Wars: Empire  Volume 6: In the Shadows of Their Fathers,Thomas Andrews,144,11/7/2006,Dark Horse Books,Media Tie In,27.5
1590595521,Beginning PHP and MySQL 5: From Novice to Professional,W. Jason Gilmore,913,10/1/2005,Apress,Nonfiction,12.0
067978148X,The Rules of Attraction,Bret Easton Ellis,283,6/30/1998,Vintage Contemporaries,Fiction,22.99
0753818817,The Decline and Fall of the Roman Empire,Edward Gibbon,680,8/4/2005,Phoenix,History,12.0
0312263104,Death in Kashmir,M.M. Kaye,256,12/1/2000,St. Martins Press-3PL,Mystery,15.5
0743219619,The Black Tower (Adam Dalgliesh #5),P.D. James,352,10/2/2001,Scribner,Mystery,33.99
0393322963,The Bush Dyslexicon: Observations on a National Disorder,Mark Crispin Miller,370,6/17/2002,W. W. Norton  Company,Politics,23.99
0440229081,Skellig (Skellig  #1),David Almond,208,9/11/2001,Laurel Leaf,Fantasy,38.99
0786881488,Love,Pablo Neruda,43,6/16/1995,Miramax Books,Poetry,27.99
0812574966,Vale of the Vole (Xanth #10),Piers Anthony,304,3/15/2000,Tor Fantasy,Fantasy,25.5
1416500502,Child of Darkness (Gemini  #3),V.C. Andrews,400,3/15/2005,Gallery Books,Horror,26.99
0786711647,A Kiss Before Dying,Ira Levin,242,4/7/2003,Carroll & Graf Publishers,Mystery,35.5
1565481240,The Enchiridion on Faith Hope and Love (Augustine Series 1),Augustine of Hippo,144,10/1/1999,New City Press,Religion,28.5
0563536594,The Return of the King (The Lord of the Rings  #3),Brian Sibley,1,3/4/2002,BBC Audiobooks Ltd,Fantasy,12.99
2290319368,Jojo's Bizarre Adventure  Tome 9: Ruée vers la falaise de la mort! (Battle Tendency  #4),Hirohiko Araki,192,9/27/2002,J'ai Lu,Sequential Art,36.0
0140448071,Dead Souls,Nikolai Gogol,464,7/29/2004,Penguin Classics,Classics,22.0
0452287073,How the García Girls Lost Their Accents,Julia Alvarez,304,10/4/2005,Plume,Fiction,28.5
0744002354,Zone of the Enders: The 2nd Runner Official Strategy Guide,Tim Bogenn,128,3/6/2003,BradyGames,Games,16.99
3518373900,Gertrud,Hermann Hesse,180,1/1/1983,Suhrkamp,Fiction,18.5
0140621598,Tales from Shakespeare,Charles Lamb,288,10/26/2007,Penguin Books,Classics,31.5
0099276496,The Risk Pool,Richard Russo,479,6/4/1998,Vintage,Fiction,19.99
0330367471,Rumer Godden,Anne Chisholm,335,6/11/1999,Pan,Biography,15.99
0393926796,A Portrait of the Artist As a Young Man,James Joyce,490,5/1/2007,W. W. Norton & Company,Classics,27.99
0140291873,Syrup,Max Barry,304,7/1/2000,New York : Penguin Books,Fiction,28.99
1595820310,Demon Deathchase (Vampire Hunter D  #3),Hideyuki Kikuchi,211,1/18/2006,Digital Manga Publishing / Dark Horse,Fantasy,33.5
0765313405,A Shadow in Summer (Long Price Quartet  #1),Daniel Abraham,331,3/7/2006,Tor Books,Fantasy,10.5
0750000333,Drina Dances in Paris,Jean Estoril,194,4/1/1991,Simon and Schuster,Childrens,28.99
0812509676,A Fabulous  Formless Darkness,David G. Hartwell,608,1/15/1992,Tor Books,Horror,25.99
0425144305,Paws Before Dying (A Dog Lover's Mystery  #4),Susan Conant,197,1/1/1960,Berkley Books,Mystery,38.99
1581345275,Piercing the Darkness (Darkness  #2),Frank E. Peretti,448,6/26/2003,Crossway Books,Christian Fiction,14.0
0743422449,Mercy,Jodi Picoult,400,4/1/2001,Washington Square Press,Fiction,27.0
061839110X,The Maps of Tolkien's Middle-earth,Brian Sibley,80,10/2/2003,Houghton Mifflin Harcourt,Fantasy,38.5
0316281336,The World Treasury of Physics  Astronomy & Mathematics from Albert Einstein to Stephen W. Hawking & from Annie Dillard to John Updike,Timothy Ferris,859,6/30/1993,Back Bay Books,Science,22.99
0525469788,Boy  Were  We Wrong About Dinosaurs!,Kathleen V. Kudlinski,32,9/22/2005,Dutton Books for Young Readers,Animals,18.0
074343059X,Geisha of Gion,Mineko Iwasaki,334,5/6/2003,Pocket Books,Nonfiction,36.0
0618260307,The Hobbit  or There and Back Again,J.R.R. Tolkien,366,8/15/2002,Houghton Mifflin,Fantasy,22.99
1879373564,Navajo Long Walk,Nancy M. Armstrong,128,7/1/1994,Roberts Rinehart Publishers,Historical,17.5
0142001619,Salt: A World History,Mark Kurlansky,484,1/28/2003,Penguin Books,History,35.5
0679731180,The Origin of Satan: How Christians Demonized Jews  Pagans and Heretics,Elaine Pagels,240,4/30/1996,Vintage,Religion,22.5
0375813683,The School Skeleton (A to Z Mysteries  #19),Ron Roy,96,1/28/2003,Random House Books for Young Readers,Mystery,13.99
0674673778,Playing in the Dark: Whiteness and the Literary Imagination,Toni Morrison,110,5/1/1992,Harvard University Press,Nonfiction,35.0
1888996285,To America with Love: Letters from the Underground,Abbie Hoffman,224,9/1/2000,Red Hen Pr,Politics,33.5
0060775858,Goodnight Moon,Margaret Wise Brown,32,1/23/2007,HarperCollins,Childrens,39.5
0374502005,The Natural,Bernard Malamud,231,7/7/2003,Farrar Straus Giroux,Fiction,25.5
1895176409,Galapagos: A Natural History,Michael H. Jackson,336,6/30/1994,University of Calgary Press,Nonfiction,28.5
1586420216,The Unknown Sigrid Undset: Jenny and Other Works,Sigrid Undset,406,12/31/2001,Steerforth Press,Short Stories,35.5
0767915305,The Sex Lives of Cannibals: Adrift in the Equatorial Pacific,J. Maarten Troost,272,6/8/2004,Broadway Books,Travel,25.5
0099284294,Filth,Irvine Welsh,393,7/1/1999,Vintage,Fiction,30.99
0553580485,Miracle and Other Christmas Stories,Connie Willis,336,10/31/2000,Bantam,Holiday,19.0
1400076951,The Return of the Dancing Master,Henning Mankell,406,2/8/2005,Vintage Crime/Black Lizard,Mystery,25.0
1421510677,Hikaru no Go  Vol. 10: Lifeline (Hikaru no Go  #10),Yumi Hotta,203,8/7/2007,VIZ Media LLC,Sequential Art,19.99
0425207978,Danse Macabre (Anita Blake  Vampire Hunter  #14),Laurell K. Hamilton,483,6/27/2006,Berkley,Fantasy,20.99
0756403804,Fantasy Gone Wrong,Martin H. Greenberg,309,9/5/2006,DAW,Fantasy,19.5
097669400X,Agile Web Development with Rails: A Pragmatic Guide,Dave Thomas,558,7/28/2005,Pragmatic Bookshelf,Computer Science,18.99
1578569540,Dark Water (Fog Point  #1),Linda Hall,354,4/18/2006,Waterbrook Press,Christian Fiction,19.99
0785263705,Blue Like Jazz: Nonreligious Thoughts on Christian Spirituality,Donald Miller,243,7/15/2003,Thomas Nelson,Nonfiction,32.99
039305800X,The New Annotated Sherlock Holmes: The Novels,Arthur Conan Doyle,907,11/7/2005,W. W. Norton & Company,Classics,31.0
1930332351,¡Horton escucha a quién!,Dr. Seuss,64,3/1/2003,Lectorum Publications,Childrens,17.0
3822817341,Leonardo da Vinci: Obra pictorica completa y obra grafica,Frank Zöllner,696,2/1/2003,Taschen,Art,12.99
0142437220,The Divine Comedy  Vol. 1: Inferno,Dante Alighieri,432,2/27/2003,Penguin Classics,Classics,35.0
0380784912,The Night Remembers (Night  #1),Kathleen Eagle,355,6/1/1998,HarperTorch,Romance,30.5
074352585X,The Man in the Black Suit: 4 Dark Tales,Stephen King,128,11/1/2002,Simon  Schuster Audio,Horror,39.0
1416534423,Year Zero,Jeff Long,416,7/1/2006,Atria Books,Fiction,12.0
0743291352,True Story,Bill Maher,304,10/1/2005,Simon  Schuster,Fiction,16.5
0142000272,Anna Karenina,Leo Tolstoy,838,12/1/2001,Penguin Books,Classics,20.99
1557130663,The Belly of Paris (Les Rougon-Macquart  #3),Émile Zola,397,12/1/1995,Sun and Moon Press,Classics,14.5
1860645887,Mary  Queen of Scots: Pride  Passion and a Kingdom Lost,Jenny Wormald,224,5/4/2001,Tauris Parke Paperbacks,History,20.99
1595550550,From the Age of Discovery to a World at War (America: The Last Best Hope #1),William J. Bennett,573,5/23/2006,Nelson Current,History,17.5
0445405562,Cast a Yellow Shadow (Mac McCorkle  #2),Ross Thomas,272,2/1/1987,Mysterious Press,Fiction,29.99
074341280X,The Wheel of Time: The Shamans of Mexico Their Thoughts About Life Death & the Universe,Carlos Castañeda,304,1/1/2001,Washington Square Press,Spirituality,38.5
0965045641,Middlesex,Jeffrey Eugenides,529,9/4/2002,Farrar  Straus and Giroux,Fiction,29.0
0743499263,Irish Girls Are Back in Town,Cecelia Ahern,384,3/1/2005,Gallery Books,Womens Fiction,21.99
0520048989,Europe and the People Without History,Eric R. Wolf,534,12/3/1982,University of California Press,History,26.5
0571204155,A Mind To Murder (Adam Dalgliesh  #2),P.D. James,225,5/20/2002,Gardners Books,Mystery,38.99
1401308201,Wicked: The Grimmerie,David Cote,192,10/26/2005,Hachette Books,Fantasy,35.5
1553650433,Souvenir of Canada 2,Douglas Coupland,144,5/10/2004,Douglas  McIntyre,Nonfiction,21.99
0140439056,A Christmas Carol and Other Christmas Writings,Charles Dickens,288,10/30/2003,Penguin Classics,Classics,23.0
0375424156,Chicken with Plums,Marjane Satrapi,84,10/3/2006,Pantheon Books,Sequential Art,32.99
1416916172,Five Little Peppers and How They Grew (Five Little Peppers  #1),Margaret Sidney,352,6/1/2006,Aladdin,Classics,19.0
0553570684,Happily Ever After (Sweet Valley High  #134),Francine Pascal,199,8/11/1997,Bantam,Young Adult,20.5
1400077303,Titan: The Life of John D. Rockefeller  Sr.,Ron Chernow,832,3/30/2004,Vintage,Biography,34.5
0375837892,A Christmas Memory,Truman Capote,48,10/10/2006,Knopf Books for Young Readers,Holiday,23.0
0486434125,The Castle of Otranto,Horace Walpole,106,3/19/2004,Dover Publications,Classics,12.99
0195098315,Paul Revere's Ride,David Hackett Fischer,464,4/19/1995,Oxford University Press  USA,History,14.5
0194232204,Hamlet (Oxford Bookworms Library: Stage 2),Alistair McCallum,54,10/1/2005,Oxford University Press  USA,Classics,27.5
0439746841,Sky The Blue Fairy (Rainbow Magic  #5),Daisy Meadows,80,11/1/2005,Scholastic Paperbacks,Fantasy,38.5
0451187261,Matters of Choice (Cole Family Trilogy  #3),Noah Gordon,448,5/1/1997,Signet,Historical,27.0
0792274571,Cruelest Journey: Six Hundred Miles To Timbuktu,Kira Salak,320,11/1/2004,National Geographic Society,Travel,11.99
0811212475,The Crack-Up,F. Scott Fitzgerald,347,4/30/2003,New Directions Publishing Corporation,Fiction,39.0
0375505962,And Still I Rise,Maya Angelou,54,8/7/2001,Random House,Poetry,34.5
039395904X,The Turn of the Screw (Norton Critical Edition),Henry James,271,7/17/1999,W. W. Norton & Co.,Classics,29.99
0809447967,Master Index: An Illustrated Guide,Time-Life Books,175,9/1/1993,Time-Life Books  Inc.,Military History,33.0
0224064452,Haunted,Chuck Palahniuk,416,5/1/2005,Jonathan Cape,Horror,10.5
0802757480,The Frog King,Frank McConnell,226,7/1/1990,Walker & Company,Fiction,39.5
0060598875,Smitten (Elsie Hawkins #2),Janet Evanovich,234,7/25/2006,HarperTorch,Romance,39.99
0812551249,Drum Into Silence (Drums of Chaos  #3),Jo Clayton,399,2/1/2004,Tor Fantasy,Fantasy,22.5
0961472820,Graphic Storytelling and Visual Narrative,Will Eisner,164,10/1/1996,Poorhouse Press,Sequential Art,39.5
0131935070,The Visual Arts: A History,Hugh Honour,936,5/1/2005,Prentice Hall,Art,36.99
8484326373,Brevísima historia del tiempo,Stephen Hawking,198,3/8/2005,Critica (Grijalbo Mondadori),Science,26.5
0671684027,Metamorphosis (Star Trek: The Next Generation),Jean Lorrah,371,3/1/1990,Pocket Books,Media Tie In,32.0
067102082X,The Gun Seller,Hugh Laurie,340,10/1/1998,Washington Square Press,Fiction,33.0
0791077640,Harper Lee's To Kill a Mockingbird (Bloom's Guides),Harold Bloom,98,6/30/2004,Chelsea House Publications,Classics,29.99
2266104462,Mon épouse américaine,Ruth Ozeki,445,4/19/2001,Pocket,Fiction,13.99
067401829X,The Gardens of Emily Dickinson,Judith Farr,350,10/1/2005,Harvard University Press,Poetry,16.0
0872201937,The Grand Inquisitor: with related chapters from The Brothers Karamazov,Fyodor Dostoyevsky,128,10/1/1993,Hackett Publishing Company  Inc.,Classics,33.0
0425201961,Goddess of Light (Goddess Summoning  #3),P.C. Cast,355,4/5/2005,Berkley,Romance,18.5
0373771665,Venetia,Georgette Heyer,364,10/24/2006,Hqn,Romance,27.99
1578050499,My Story as told by Water: Confessions  Druidic Rants  Reflections  Bird-watchings  Fish-stalkings  Visions  Songs and Prayers Refracting Light  from Living Rivers  in the Age of the Industrial Dark,David James Duncan,304,7/17/2001,Sierra Club Books,Nonfiction,10.99
0805073876,Shakespeare's Secret,Elise Broach,256,5/1/2005,Henry Holt & Company,Mystery,37.0
0140119485,Americana,Don DeLillo,377,7/6/1989,Penguin Books,Fiction,11.5
0374517886,The Collected Stories of Isaac Bashevis Singer,Isaac Bashevis Singer,624,8/1/1983,Farrar  Straus and Giroux,Short Stories,13.0
0312997833,Dakota,Matt Braun,306,8/30/2005,St. Martin's Paperbacks,Westerns,18.5
0060766743,The Nightmare Room: The Nightmare Begins! (The Nightmare Room  #1-3),R.L. Stine,432,5/24/2005,HarperCollins,Young Adult,13.0
0590441744,The Zucchini Warriors (Macdonald Hall  #5),Gordon Korman,208,6/1/1991,Scholastic,Fiction,10.99
055380202X,The Universe in a Nutshell,Stephen Hawking,216,11/6/2001,Bantam,Science,32.99
1559210869,East Wind: West Wind,Pearl S. Buck,288,4/5/1995,Moyer Bell and its subsidiaries,Fiction,25.0
0815319665,Cold Counsel: Women in Old Norse Literature and Myth,Sarah M.  Anderson,320,12/21/2002,Routledge,History,35.5
0312982860,True Believers (Gregor Demarkian  #17),Jane Haddam,432,4/15/2002,Minotaur Books,Mystery,10.5
0375725180,Red: Passion and Patience in the Desert,Terry Tempest Williams,288,10/8/2002,Vintage,Environment,16.0
0007145594,Naked Empire (Sword of Truth  #8),Terry Goodkind,685,10/1/2004,Voyager,Fantasy,17.0
0385339674,The Brethren,John Grisham,384,12/27/2005,Delta,Fiction,27.99
1590171039,Mistress Masham's Repose,T.H. White,260,3/7/2012,New York Review Children's Collection,Fantasy,32.5
2070766039,U.S.A.: 42e Parallèle/L'An premier du siècle/La Grosse galette,John Dos Passos,1344,9/4/2002,Gallimard,Fiction,19.0
0894805959,The Best of the Journal of Irreproducible Results,George H. Scherr,195,1/10/1989,Workman Publishing Company,Humor,21.5
0843956046,Sk8er Boy (First Kiss Club #1),Mari Mancusi,181,10/1/2005,Leisure Books,Young Adult,35.5
0679722599,The Big Knockover: Selected Stories and Short Novels,Dashiell Hammett,480,7/17/1989,Vintage Crime/Black Lizard,Mystery,33.99
0786851155,Sweet Dreams  Mimi (Baby Einstein),Julie Aigner-Clark,16,4/1/2004,Disney Press,Childrens,25.99
0770429459,Lord John and the Private Matter (Lord John Grey  #1),Diana Gabaldon,368,10/4/2005,Seal,Historical,10.0
0373285388,First Impressions,Nora Roberts,301,10/24/2006,Silhouette Books,Romance,35.99
0974514055,Programming Ruby: The Pragmatic Programmers' Guide,Dave Thomas,828,10/11/2004,Pragmatic Bookshelf,Computer Science,31.5
